Kevin|  At least once a year, I like to bring in some of my Kevins Famous Chili.  The trick is to undercook the onions.  Everybody is going to get to know each other in the pot.  Im serious about this stuff.  Im up the night before pressing garlic and dicing whole tomatoes.  I toast my own Ancho chilies.  Its a recipe passed down from Malones for generations.  Its probably the thing I do best.  
Toby| Cant you just not look at his feet?
Angela| Excuse me? Oh. Youre so educated, arent you Toby?  So trained to deal with a hysterical woman.  I dont want to look at his feet.   Do your job!
Toby| Well, I was in the Seminary for a year and dropped out cause I wanted to have sex with this girl, Cathy.  Followed her to Scranton.  Took the first job I could find in H.R.  Later she divorced me.  So no, I wouldnt say I have a passion for H.R.  
Michael|  There you are, my friend.  
Ryan| Oh, thanks, man.
Michael| Pamela.  
Pam| Thank, Michael.
Michael| Yep.  
Dwight| Fresh hot ink.  
Stanley| "New File System".
Dwight| Trust me, Stanley,  youre going to want to read this memo very carefully.  
Stanley| I am not changing the way I do my files.  
Dwight| No, no.  This goes for all of you.  Believe me, you are going to want to heat my words.  
Dwight| When held over heat the invisible ink will reveal that everyone should meet at the warehouse immediately.  Do not ask me where I got the invisible ink.  Urine.  It was urine.  
Oscar| Im sorry youre offended by my shoes, but I am not going to drive home to change.  
Toby|  I could loan you a pair of socks.  
Oscar| No.
Toby| No, theyre clean.  I was going to wear them to volleyball practice later.  
Oscar| I dont think so.
Andy|  Andrew Bernard.
Dwight| Okay, what are you still doing at your desk?
Andy| What are you still doing not at your desk?
Dwight| Did you even read the memo?  
Andy|  All my files are now in reverse alphabetical order--  
Dwight| No, you idiot.  There is a code embedded in the memo.  Listen, you need to round up all the salesmen, except for Ryan and Pam, and get them down to the warehouse pronto.  
Andy| Oh, it is on like a prawn who yawns at dawn.  
Dwight| Stop doing rhyming poetry.  Just tell them, please.  God, the simplest thing.  
Dwight| Were in crisis mode here, do you understand?  The two unqualified so-called salespeople are being favored because they all failed together.  And frankly, Im not convinced that Michael and Pam didnt have a thing going while they were gone.  
Jim| Can I address that?
Dwight| No, youre too close.
Jim|  Okay.  
Dwight|  Stanley, how do you feel about those two taking your clients?  
Stanley| Its not right.  I dont like it. 
Dwight| He doesnt like it.  
Phyllis| You dont take my clients away and give them to a secretary.   No offense, Jim.  I think shes very pretty.  
Dwight| Her face is okay, but-- Jesus!  What --what are you doing here?  
Meredith|  I dont know.  I saw a crowd.  I thought there might be a dogfight or something--
Dwight|  Get out!  We need to do something.  Im thinking maybe a coup or we take Ryan hostage.  
Phyllis| Those sound too harsh.
Dwight| No, Im not saying we do those things.  Im saying something like those things.  
Jim| Of course.  What is like a hostage?  
Dwight| Excellent question.  
Andy| We could write a strong-worded letter.  
Dwight| Words will never be enough.  
Jim| Strongly-painted picture.  
Dwight| No, pictures are too interpretive.  
Jim| Can I just say something?  I know that tempers are high, but I think the best way to handle this might be to just talk to Michael directly.  
Dwight| Oh.  Well, that--thats a great idea, Jim.  Oh, I totally see your point.  Okay, well talk to Michael directly.  So uh,  meeting is over, I guess.  Ill see everyone upstairs.  
Jim| Great.  See you upstairs.  
Dwight| Cmon.   Guys. Psst, listen.  Now is the time for action.  Im talking action--
Pam| That ones great.  
Michael| I know.  
Ryan| You look so classy in that picture.  
Michael| I do?  Well--Where is that bowl?
Jim| Hey, you have a second?
Michael| Michael Scott Paper Company only.  
Jim| Yeah, I think youre going to want to cool it with that cause its starting to upset the other salesmen.  
Michael| Okay, well---
Ryan| Tough.
Michael|  I will--no, no.  Ill talk to them when they all get back from the bathroom.  
Jim|  This is awkward to talk about, but there may or may not be--but definitely is--a mutiny  forming in the warehouse right now.  
Michael| Against who?
Ryan| You.  Us.  
Pam| What?
Ryan|  Its gotta be because they all want their clients.  
Michael| The old Michael Scott might have taken this, but not the new Michael Scott.  They are in for a bitter surprise.  I am not to be truffled with.  
Michael| Six weeks ago, none of these people wanted to come with me.  You two were the only ones with the stones to follow.  
Pam| Mm-hmmm.
Michael| That was  us, right there.
Pam|  We were something else.  
Ryan| What you gotta do is you gotta go down to that warehouse and you gotta crack some skulls.  
Michael| Mm-hmm.
Ryan| Chiklis style.
Michael| Yeah, the Commish.
Ryan| Yes, but Chiklis Shield style.  Not Commish style.
Michael| Yeah, yeah. The Shield.  
Creed| Its crazy whats going on out there today, huh?  
Jim| I know.  Yeah, its...kinda--
Creed| Sometimes its best just to say out of it.  
Jim| Thats true.  Thats right.  Yeah.  
Creed| Want to play a game?
Michael| Hey gang. Where you been?  
Dwight| Lunch.  
Michael|  Whered you eat?  
Phyllis| A restaurant.
Michael| Whatd you have, Stanley?
Andy| I had a salmon salad.  With water, no ice.  I was going to get a soda, but the waiter talked me out of it.  Her name was Flo, she had black hair. 
Stanley| I had Mexican food.  
Michael| So since you guys already ate, you wont be eating the stuff you brought with you for lunch, will you?   Oh, wow, Stanley.  Is that egg salad?  Andy brought some salmon.  
Ryan|  That looks great.  
Michael| Dwight, is that a meat sandwich?  You guys hungry?
Ryan| I can eat.  
Michael| Im going to o have some of this meat sandwich.  
Dwight| Its pony. 
Michael| Mom. What kind of sauce is on your salmon?
Andy| Dijonnaise.
Michael|  Mmm.  Thanks for going out, guys.
Pam| Mmm.  
Toby| Hey, Meredith.  Can I talk to you privately for a second?  
Meredith| About what?
Toby|  Your outfit.  
Meredith| What? Whats wrong with my outfit?
Toby| You--you might consider pulling it down a touch.  Its ri--its riding up a little high.  
Meredith| A bunch of prudes.  You know, Oscars allowed to wear sandals,  but Im not allowed to wear open-toed shoes?    Is that how it goes?  
Oscar| Meredith, your boob is out. 
Meredith| Fine.  
Angela| Meredith, too far!
Kelly| Dammit, Meredith, where are your panties?  
Meredith| Its casual day.  Happy?  
Creed|   No. IF you do that, Im gonna do that.  IF you do that, Im gonna do that.  IF you do this, Im gonna do that.  
Jim| Well, what if I just do this?  
Creed| You dont want to do that.  
Jim| Im just hiding out until all this stuff blows over.  With Creed. Playing chess. At work.  Hes winning.  I feel like Im describing a dream I had.  
Ryan| Im sorry you feel that way, Mr. Bart.  Is there anything I can do to make things better?  
Dwight| Whoa, whoa, whoa, whoa, whoa, whoa.  Give me the phone.  Give me the phone.
Ryan| Exactly.  
Dwight| Thats my client.
Ryan| Exactly.  This is your first complaint in ten years.
Dwight| Give me the phone.
Ryan|  Things have been generally good.    
Dwight| Give me the phone.  Tell him Dwight Schrute wants to talk to him. 
Ryan| Look, uh, Mr. Bart...
Dwight| Hi, Mr. Bart.  
Ryan| At these prices with this service...
Dwight|  Hey, its Dwight here.  Give me the phone.  
Ryan| Youre not gonna find this anywhere else.  
Dwight| Dwight Schrute here.  Hey, dont hang up.  
Ryan| No, no, no.  Sir, dont listen.  
Dwight| I know times are tough right now,  and I laud your thriftiness.  Ryan!  
Phyllis| Ryan, hand the phone over.  
Ryan| Stop flustering me, everybody!
Stanley| Who let this boy on the phone?
Dwight| Ah! Mr. Bart!  Ugh! [slams phone down[ I cannot believe you lost that account.  He was my client for ten years!
Pam|  You made him lose the account by screaming at him the entire time.  Its okay, Ryan.
Dwight| Youre a secretary! What do you know?  
Ryan| Okay.
Dwight|  And youre a temp and Im taking your phone.   Im confiscating this.
Michael| Hey, hey guys.  You know what I want you to do?  Shake hands, get over it.  That was not a shake, Dwight.  
Dwight| We want our clients back or we quit, Michael.  
Michael| Who quits?  
Phyllis| Me.  
Stanley| And me. 
Andy| Me too.  
Michael| You guys gotta be kidding.  
Dwight| No, we gotta be deadly serious.  Well start our own paper company.  The Schrute-Bernard-Lapin-Vance...Stanley Paper Company.  
Michael| I love it.  I love this idea, and I fully support you.  As a matter of fact, Im going to give you some seed money.   There you go.  Theres some seed money for you.  And you can take it, no hard feelings.  But if you stay, I want an apology,  and I want a big one.
Stanley| You want us to apologize to you?
Michael| Yes I do.  
Andy| Thats completely backwards.  
Michael|  Its frontwards.
Phyllis| Michael, you thought you were attacking corporate, but we were the ones who got hurt.  You should be apologizing to us.  
Stanley| Thats right.
Dwight| Right.
Phyllis| Michael, you always said we were a family.  Then you went after us.  
Michael| No matter how I look at this, I am in the wrong.  And I have looked at this thing, like a hundred different ways.  From my point of view, from their point of view...98 others.  And the bottom line, I am in the wrong.  Im the bad guy.
Michael| I need you to arrange a meeting between me and the sales staff without Ryan and Pam knowing.
Dwight| Gasp.  Are you talking about a secret meeting?
Michael|  Whatever you guys did earlier.
Dwight| I dont know that first things about secret meetings.   
Michael| Just do it, okay?
Dwight| Ill do--
Michael|  Get em there.  Get em there.
Dwight|  Ill do the best I can.
Michael| Are you kidding me?  
Dwight| Deceit does not come easy to me.
Michael| Okay, okay, okay.
Erin| I really love your outfit.  
Kelly| Thank you so much for saying that.  I cant believe that Toby thinks this is inappropriate.  
Erin| You look like J-Lo.
Michael| So from the bottom of my heart to the top of my heart, I am sorry.  
Stanley| Are you giving us our clients back?  
Michael| If we could just focus and go down the line, and everyone would say,  "apology accepted", I think we would all feel better.  And then we can break out  my gift to you--complimentary white chocolate bark.
Stanley| Nobody likes that stuff except for you.  
Michael| They wouldnt make it unless people liked it.  
Phyllis| Michael, just give us our clients back.  Thats all we care about.
Michael| Okay.  If I give you your clients back there wont be enough clients for Ryan and Pam, and I promised both of them they were gonna be salespeople.
Stanley| So?  
Michael| Fine, have your clients.  I can see thats what you wanted all along.   However, I rescind my apology.  
Dwight|  Thats fair.
Michael| You are not reacting at all as I had hoped.  
Darryl| Whatd I tell you about building forts in my warehouse?
Ryan| Michael gave all of our clients back to their old salespeople, so now theres not enough for both me and Pam to stay on.  
Pam| He can only keep one of us as a salesperson now.  Hell make his decision by the end of the day.  
Ryan|  I think you should get it.  You really grew into it.
Pam| Oh.  I think you should get it.  Youve changed a lot and youd be good at it.
Ryan| If you really think that, will you tell that to Michael?  That would go a long way coming from you.
Pam| Yeah.
Ryan| Thanks.
Creed| So hey, Im want to set you up with my daughter. 
Jim|  Oh, Im engaged to Pam.  
Creed| I thought you were gay.
Jim|  Then why would you want to set me up with your daughter?
Creed|  I dont know.  
Michael| Jim. Can I talk to you for a minute?
Jim| Sure.  Let me just finish this turn.
Michael|   And Bingo was his name.  Lets go.
Creed| Challenge.
Michael| I need your help.  This whole Pam/Ryan debate is screwing with my head.
Jim| I dont want to be biased, but I am very close to Ryan.  You know that.  
Michael| Youre close with Pam too.
Jim| Eh, shes nice, I guess.  You know what?  Best thing to do, Pros and Cons list.
Michael| Pro for Ryan, he went to business school, hes my number one choice.  
Jim| Well, thats--
Michael| I like his hair.  
Jim| Cons, Ryan.  He defrauded the company.  He has never made a sale.
Michael| Okay.
Jim| He definitely stole my iPod.  
Michael| That sounds pretty biased.  
Jim|  You didnt hear my pros.  Environmentally-conscious cause his mom drives him to work everyday.  
Michael|  Okay. Pam, pros.  
Jim| Mm-hmm.
Michael|  I like her.  I think that she is a fast learner.  Cons, she doesnt always follow through.  Sh--New York and the whole art school thing.  And Roy.  She has a weird voice.
Jim| Thats not true.
Michael| I dont need to tell you that.   
Jim|  I think shed be a really good salesperson.
Michael|  I dont think you are being totally impartial though, because you havent said one bad thing about Pam.
Jim| And I wont.
Michael| Okay.  So be it, then youve lost credibility.  And Im going to go with my guy, and thats Ryan.
Jim|  All right.  Youre right, sometimes when shes tired, she can be a little bit shrill.  But thats not a weird voice.  
Michael| Oh, wow!  Whoa!
Jim|  Take it easy.
Michael| Ho-ho, man!  Wow.  Honey!  I want you to bring the garbage out.  Cause Im not going to have sex with you unless you bring out the garba--
Michael| I have a very difficult decision to make.  Its like last week I was at the video store.  Do I rent Devil Wears Prada again? Or do I finally get around to seeing Sophies Choice?  It is what you would call a classic difficult decision.  
Andy| You dont understand clothing, Toby.  Youre dressed like this amorphous blob of khaki.  
Toby|  All right, look, what you gotta understand is that when you come to work, you give up certain rights.
Dwight| Listen up, Flenderson.  Youre being weak and ineffectual.  Im cowboying this meeting, okay?  Here are the new rules.  Earth tones only.  Also, women are forbidden to wear pants.
Toby|  All right, come.  Sit down, Dwight.
Dwight| No.  
Toby| Im running this meeting.  
Dwight| Thats debatable.
Toby| Its not.  Its not.  Sit down or I am writing you up.  
Meredith| Ooh, where has this guy been?
Toby|  Casual Fridays are cancelled.    Lets just not do it anymore.  
Andy|  Youre running from the problem.
Toby|  Theres not a single appropriate outfit in this whole--except mine, quite honestly.  
Michael|  Pam, can you come in here, please?  Have a seat.   Well, theres no easy way of saying this.  So I think I will just...drag it out.  Since the dawn of time there has been--
Pam|   Just tell me.
Michael| I gave Ryan the sales job.  There just werent enough clients for the two of you.  So I had to--
Pam| No, okay.  
Michael| Im sorry, sorry.
Pam| Okay, I get it.  Why are you giggling?  Is this a joke?   Michael, is this-- did I get the job?  
Michael|   Yes, you did.
Pam| I did?
Michael| Yep.
Pam| For real, youre not kidding?
Michael| No, you--no.
Pam| I did?
Michael| No, youre the best person for the job.  Youre going to be great.  
Pam| Oh, Michael, thank you.  Thank you.  
Michael|  Oh, oh!
Pam| Thank you.  You will not be sorry.
Michael| You should have seen your face.  Oh man! Oh, that was classic.
Pam|  Oh.  I really thought I didnt get it.
Michael| Oh, really?
Pam| Yeah.  Cause you said I didnt
Michael| Oh, man.  That was really good.  That was really good.
Pam| What about Ryan?  
Michael| I dont know, I offered him his temp job back.  Well see.  He was not happy at all when I offered him this job and then I told him he didnt get the job, so--
Pam| Yeah.  Maybe you shouldnt fake fire people anymore.  
Michael| I dont appreciate you telling me what to do.  So clean out your desk, you are through here.
Pam| Thanks, Michael.
Michael| Oh! Whats our receptionists name?
Pam| Erin.
Michael|  Could you send her in?  
Pam|  Erin.  Michael wants to see you.
Michael| Hello.
Erin| Hi.
Michael| Have a seat.  
Michael|  This is very difficult to say, but no one here like you in the office and we are going to have to let you go.   Hank, could you come up here please?  Hank is our security guard--
Erin|  Oh, I can go.
Michael| He will be ushering you out.    
Erin| Oh!
Michael| Oh, your face!  Oh!
Erin|  Is--do the people--
Michael| No, Im kidding.  No, youre not--youre not fired.  Yet.
Erin| Oh!
Michael| Oh...
Erin|  Do they not like me, though?
Michael| I dont know, actually.
Erin| Okay.
