|New Instant Message
 Gosh, you know, I wish I could but, uh No. Hey, listen, remember how everyone used to call you Dwight Junior and how much you loved that?|Clark
  I loved it.|Dwight
 How would you like to pretend to by my son in order to land a sale?|Clark
 If itll lead to me being a salesman, Ill pretend to be your friend.|Dwight
 Then looks like we have a deal Son |Erin
 Hi guys!|Pete
 Hey, look who it is!|Erin
 Sorry. Super-busy. Pens coming in later, just grabbing a Java before all hell breaks loose.|Oscar
 Try this one. |Erin
 Thank you! |Erin
 I dont really have time to think about Pete right now. I just have a lot going on with this whole shipment of pens. And I have a lot of people trusting me, and I would feel super guilty if I broke anyones trust. About the pens.|Pam
 You ready for your interview?|Darryl
 I was born ready! No, I suck at interviews. I had Andys job in the bag until my interview.|Pam
 Well, you shouldnt be nervous about this. This is a tiny start-up with a bunch of guys just as dorky as Jim.|Darryl
 Yeah, I guess|Pam
 Really, you cant be scared of a room full of Jims. I love the guy, but hes basically Gumby with hair. |Suit Store Father
  Its kind of funny, a father and son sales team meeting with a father and son suit store.|Dwight
 You know, youre right! We hadnt even thought of that, had we boy? |Clark
 No, we sure hadnt Pop. |Dwight
  Oh! Youre a hunter I see. Spend your early mornings out in the blinds, like Clarky and me. Huh? |Clark
 He calls me Clarky â€˜cause hes my Dad.|Dwight
 Guilty!|Suit Store Father
 You dont meet many hunters these days.|Clark
 My dad is the best hunter there is. I mean, hes like a serial killer of animals. One time, he snuck up behind a sleeping deer and just sawed its head right of. It was sick! |Dwight
 It was his birthday, just turned three. So|Suit Store Father
 Ahh|Oscar
 You guys, I kind of think I want to try them all. Is that crazy?|Nellie
 No. Look, without a taste test, how are we supposed to know which flavors we like to reorder?|Kevin
 Taste test? Im in!|Oscar
 YOLO! |Phyllis
 What? |Oscar
 Its a thing. It means â€œyou only live onceâ€.|Kevin
 Yeah, were aware of what it means Oscar, you just do not look cool saying it.|Oscar
 Well|Kevin
 Alright everybody, whos in?  Angela?  Dont make us come over there.|Angela
 No, I dont no.|Kevin
 Alright, lets go. |Angela
 Cant I just agree without putting my hand in?|Nellie
 Absolutely not!|Kevin
 No way.|Angela
 Oh, fine. |Kevin
 Ok guys, â€œwe all drink them allâ€.|Everyone
  We all drink them all!|Kevin
 Yes!|Oscar
 Yes!|Nellie
 Whoo!|Phyllis
 Hey, wheres my ring?|Creed
 Im sure itll turn up.|Athlead Employee
  Yes maam, you want to go east on Franklin, take that all the way to Commonweath. Youll see us on the right side, you cant miss us.|Dennis
 And I want to reach every demographic possible.|Jim
 No, I hear what youre saying, and we will. The thing is, we gotta lock down this key demographic first. The rest will come, I promise. Just give me a couple weeks, alright?|Dennis
 Were talking weeks here, not months, right?|Jim
 Weeks. Always weeks. Man, the last time I talked months was like, a million weeks ago.|Dennis
 Alright. Good.|Jim
 Thanks Dennis, I appreciate it.  Hey! How are you?|Pam
 Good!|Jim
 What are you doing here?|Pam
 I just wanted to see you!|Jim
 Thats so great!|Darryl
 Damn! Jim, you got a real Facebook energy going on here man. You Zuckerberged this place out!|Jim
 Its pretty great, right? I mean, were coming along  Hey, Wade, we gotta just push up Denniss timeline|Wade
 Okay|Jim
  Actually, you know what? Give me one second, okay? Make yourselves at home.|Dwight
 But I think that all of your concerns will be answered when you see the brochure that Clarks getting out of my car. Hes a good boy, does whatever I say.|Suit Store Father
  I cant relate to that, my son hates my guts.|Dwight
 Oh really.|Suit Store Father
 Bring him into the business, and he resents me. How do you like that?|Dwight
  Well, things between me and Clark are good, but not great. In fact, I will say that theyre not even good. Really, theyre bad. Like you and your son.|Clark
  Here you go, Pop! I know it was just a couple minutes, but God I missed you!|Dwight
 What took you so long? Were you loitering out there like a hooligan, smoking a doobie?|Clark
  I sure was. Just like he taught me, looking cool.|Dwight
 Youre being disrespectful!|Clark
 And I love you, for saying that.|Dwight
  We dont get along.|Clark
  Ha ha! I just burned him. Because the truth is our relationship is terr-|Dwight
 Terrible!|Clark
 Terrible.|Dwight
 Yes! Genius. Stupid, stupid genius!|Pam
 Wow, this place is so great. I had no idea â€“ on the phone, you made it sound kind of dinky.|Jim
 Well, I mean, I dont even have the paycheck yet. It is a startup, so These things go down all the time.|Darryl
 If this companys going down, I wanna go down on it. With it. I wanna go down with it.|Jim
  Are you cool to just hang out?|Pam
 Sure, no problem.|Jim
 Yeah?  You ready?|Darryl
 Yeah.|Jim
 Lets do it!|Erin
 The pen delivery went amazing, and now Ive got all these pens just waiting to be unpacked. But Pam did not tell me to unpack the pens, and Im not one of those people whos just like, â€œUh, sure. Ill accept the pens when they come in, and then as soon as your backs turned, I unpack the pens and get all this credit as some great pen unpacker. On the other hand they are just sitting here. Pam didnt tell me not to unpack them. Dont want to be a busybody, but I dont want to be a lazybones. Busybody, lazybones. Busybody, lazybones. Ahh! My brain is ping-ponging around in my head right now, its insane! Im sorry, what was your question again? Oh yeah, no. Ive never had an espresso before. Theyre good though.|Nellie
 A-bam!  My favorite is Viennese Amaretto. And the worst flavor Ive tried so far is Alpine Select!|Kevin
 Yes! |Angela
 Ugh!|Kevin
 One! |Angela
 Kevin! Kevin! Kevin!|Kevin
 Two |Angela
 Stop it!|Kevin
 Three|Oscar
 Thats enough Kevin.|Angela
 Stop it Kevin!|Kevin
 Four!|Oscar
 Thats enough!|Angela
 Kevin!|Clark
 So for your menswear catalogue, I think we can offer you some very competitive pricing.|Suit Store Father
 I heard that before|Clark
 Well, I understand, but â€“|Dwight
 I bet you have. He knows nothing about what people have heard before, my son.|Clark
 Here we go again, another lecture from the old man.|Suit Store Father
 Listen to him. He created you.|Dwight
 Maybe if you listened a little bit, youd improve. No wonder women despise you.|Clark
 Women dont despise me|Dwight
 His last girlfriend was a transvestite. I knew it right away. Adams apple like the prow of a ship, thumbs like a lowland gorilla. Ha, but this one couldnt see it, or didnt wanna see it.|Clark
 Alright, thats enough, â€˜cause I can say some things about him too.|Dwight
 Yeah? Like what?|Clark
 Like the time that you got drunk and, and then Killed those kids on their way to prom!|Dwight
 That never happened. Hes always been a liar. Ever since he was a little kid. He got caught â€œsaving treatsâ€ from the kitty litter box.|Suit Store Father
 Really shameful|Clark
 So we can offer you matte or glossy printing-|Dwight
 Glistening brown morsels tumbling from every pouch in his trousers.|Clark
 Theres obviously a volume discount uh, if you-|Dwight
 Following the cat around on his knees with his hands cupped beneath its tail, going â€œplease kitty, may I have some more?â€ You cant make this stuff up!|Clark
 No, I think someone could make it up. Someone with very few friends.|Suit Store Son
 Hey fellas, sorry to keep you waiting.|Suit Store Father
 Here he is, my son.|Dwight
  Got cat turd collector written all over him.|Suit Store Son
 Did you say cat turd collector?|Athlead Employee
 ...So definitely looking to expand our market, but for now were just concentrating on athletes that are popular here in the northeast. Of course, thats not a mandate.|Darryl
 â€œMandateâ€- Always think of two men on a date.  I have gay friends I have one gay friend.  Oscar?|Jim
 Mm-hm|Athlead Employee
 Alright, so what makes you think youd be a good fit here?|Darryl
  Ummm  Alright. Obviously yall look really busy, and uh, I dont want to waste your time anymore. Sorry, I just uhh Obviously Im not qualified to be here man, Im  Im a warehouse manager, you know|Athlead Employee
 Darryl, I was a newspaper editor.|Female Athlead Employee
 Science teacher, volleyball coach.|3rd Athlead Employee
 I work at a home shopping network.|4th Athlead Employee
 Im a laywer. Im the only one here who can honestly help. |Jim
 And as you know, I was a paper salesman.  Hey, I find it helps if you just picture everybody naked. |Darryl
 Cool. Hey, thanks|Athlead Employee
 So how about we start over, hmm? Darryl, do you have any thoughts on the company?|Darryl
 Yes, as a matter of fact, I uh  I wrote some down. There you go.  Wow, this guy came prepared, it impresses me! |Stanley
 Ah! So, this is what 200 P.M. looks like around here!|Stanley
 I usually take a siesta about now.|Pete
  Stocking pens, huh? Youre like the new office administrator.|Erin
 No, I just took over the pen shipment because Pam had to leave. When I say it out loud, I know that sounds insane, but its the truth, I swear.|Kevin
 Pam! Pam, look out! Erins gunning for your job!|Erin
 No, Im not!  Its not like that at all! Forget it, Im so sorry.|Kevin
 Pam, look out!|Erin
 Pens, you did not buy into this. I am sorry, what a day youve had.|Athlead Employee
 By the way, Jim talks about you all the time.|Pam
 Thats sweet that he talks about me.|Athlead Employee
 Its too bad he still hast to work part time in Scranton though|Pam
 Well, thats funny because I think of him as working part time in Philadelphia.|Athlead Employee
 We cant wait until you move here.|Suit Store Son
 Im sorry, you guys are here to sell us paper?|Dwight
 Do you mind? The men are talking.|Suit Store Father
 Sons used to idolize their fathers.|Dwight
 Us old timers need to stick together. And how better than by signing a contract?|Suit Store Father
 Id love to! Sam Junior here, he runs the business now. Kind of pushed me out, truth be told. Im just here for human contract.|Suit Store Son
 Okay Pop|Dwight
 Wait, so youre the boss?|Suit Store Son
 Thats right.|Clark
 Hi, Im Clark.|Suit Store Son
 Hey.|Clark
 Lets talk.|Suit Store Son
 Okay.|Clark
 So if you look at our catalog here|Athlead Employee
 Well, thanks for coming down Darryl.|Female Athlead Employee
 It was nice meeting you Darryl, I think youd fit in great here.|Darryl
 Yeah, yeah me too. I think itd be like You know what?  I think itd be like a Kevin Durant jump shot Perfecto!  Oh my god|Pam
 Theyre the ones who put a fish tank next to a basketball hoop. Its like if I put a glass of milk on the edge of the table and Cece knocks it over, I dont blame Cece.|Darryl
 So Im like a three year old girl in this scenario|Pam
 Say they dont hire you. Its not like youre out on the street. You have a great job with people who love you.|Darryl
 And Id only get to see Jada on the weekends. You know, Im Im not so sure Id like living in Philadelphia.|Pam
 Right? Thank you! Its just Philly. Everyones acting like its New York or Paris or London.|Darryl
 Who needs it?|Pam
 Not us.|Jim
  Okay, so the consensus was that that was unique. Theyre going to make you pay for the fish, and they wanted to know when you can start.|Darryl
 What?  How about yesterday?|Pam
 Congratulations.|Darryl
 Oh, thank you.|Pam
 I guess you gotta move to Philly after all.|Darryl
 Yes, I love Philly! Two-One-Five or die!|Pam
 No, Im not upset. Im really excited for Darryl Maybe Im a little disappointed that well be losing him.|Kevin
 It feels really hot in here. Is it hot in here? It feels really really hot in here.|Oscar
 Its insane! They need to have the A.C. on year round! January too!|Angela
  I dont get the point of this stupid window!|Clark
 I mean, look, you and I both know that in paper or fashion, styles change. Check out my dads suit. You are looking at pure acrylic. Thats why his face always breaks out.|Suit Store Son
 Does that suit come with a fire extinguisher? |Clark
 You know what Dad? Maybe you should buy me a suit. I mean, Im going to need one right? If Im ever going to get a â€œreal jobâ€ and move my â€œlazy assâ€ out of your â€œG.D. houseâ€.|Suit Store Son
 Hes got you there|Suit Store Son
  Thats Italian silk. Very comfortable. Very tasteful Although expensive.|Dwight
 Yeah, you dont want Italian. Youll look like a mafia don. Next thing you know, youll be doing life in Rikers Island.|Clark
 Well, thats better than looking like the undertaker from boring island.|Dwight
 That place doesnt exist. Its not a documented island. Ha ha, cartograph much?|Clark
  How do I look?|Dwight
 Actually You look great. They steered you right. I guess it does make sense buying from a father son team. You know what? Ill take one too.|Oscar
 Everyone! Now that we have all this energy, why dont we move the copier into the annex like weve always wanted to?|Nellie
 Whoo!|Meredith
 Frickin A!|Oscar
 Huh?|Kevin
 So long, noise!|Oscar
 One, two, three! |Nellie
 And we have torn up the carpet! Oh, were going to be in so much trouble!|Oscar
 Wait!  Its beautiful. Hardwood! I always knew it was down here, I just never dreamed that I would actually see it.|Meredith
 Tear up the carpet!|Nellie
 Whoo!|Darryl
 Kill their fish, and they still hire me. Thats how you do that, baby. Its all good, Im ready. Yall ready for this? |Pam
  Everybody dance now |Oscar
 Kevin, move. I cant pull up the rug if youre standing on it with your rhinoceros feet.|Kevin
 Well I cant stand here if you pull the carpet out from under me.|Angela
 Oh, my head is killing me. Does anyone have a baby asprin?|Nellie
 Oh, enough with the whining already! Why dont you just have some more coffee?|Stanley
 Its all gone. I didnt get a chance to try them all because Creed poured my Bogota Sunrise in the plant.|Creed
 I saw the leaves twitch!|Angela
 Shut up!|Creed
 You shut up!|Oscar
 Everybody shut up and work!|Phyllis
 We dont work for you!|Kevin
 Yeah!|Angela
 Yeah!|Stanley
 Hey, its five oclock. |Oscar
  Kevin, can-|Angela
 Whats going on?|Dwight
 Yes! We did it! |Clark
 You opened the door-|Dwight
 And you closed it. The boys are back in town.  High fives! Ha ha!|Clark
 Hey, so all that really specific cat turd business, that was about you, right?|Dwight
 You got me!  I used to collect them!|Clark
 Why?|Dwight
 Each one is very different, like a snowflake.|Pam
  Hey What happened here?|Erin
 You left me in charge of the pens, Pam. Thats what happened. The pens happened.|Pam
